OID;SKU;Quantity
74147917634112;X5C46RX-ZX;2
74147917634112;X6Q53EX-ZX;3
74147917634112;X7W00RX-ZX;2
74147917634112;X7W12EX-ZX;3
74147919698331;P4Q50UW-ZX;1
74147919698331;V8L72RX-ZX;2
74147919704111;752686-K21;3
74147919704111;GG372U;2
74147919704111;GGG299U;2
74147919704111;GGL258U;1
74147919704111;L2S55RX-ZX;3
74147919704111;P1G42RX-ZXU;1
74147919704111;V1U81RX-ZX;2
74147919704111;X2F50RX-ZX;2
74147919704112;642106-421;3
74147919704112;GG9663U;3
74147919704112;GGC103K;1
74147919704112;N0P81RX;3
74147919704112;P1K48RX-ZX;3
74147919704112;P9H90U;2
74147919704112;V200UW-ZX;2
74147919704112;V7Q81RX-ZX;1
74147919704112;W7U90RX-ZX;1
74147919704112;X3W47UW-ZX;2
74147919704112;X8R81UW-ZX;1
74147919824341;774435-425;1
74147919824341;EF224UX;1
74147919824341;G1X73RX-ZX;3
74147919824341;GG378U;3
74147919824341;GG9826U;2
74147919824341;GGE005U;1
74147919824341;GGG307U;2
74147919824341;N8P75RX-ZX;2
74147919824341;V7Q81RX-ZXU;2
74147919824341;X3GG17RX-ZX;1
74147919824341;X7V54RX-ZX;3
74147920094221;727030-K21;1
74147920094221;818209-K21;1
74147920094221;GGG913U;1
74147920094221;P6S26UW;2
74147920094221;X9S94RX;1
74147920094222;642120-421;3
74147920094222;GG9639U;1
74147920094222;GGG894U;3
74147920094222;Q8K67RA-ZX;3
74147920094222;X3M88UU;1
74147920094222;X9X14EX-ZX;2
74147920220111;666159-K21;1
74147920220111;733739-421;2
74147920220111;838502-421;2
74147920220111;F3GG72UX;2
74147920220111;F6S74RX-ZX;2
74147920220111;GG9834U;2
74147920220111;GG9868U;3
74147920220111;GG9C13RX-ZX;1
74147920220111;Q8K64RX-ZX;3
74147920220111;W8Q67RX-ZX;1
74147920220111;X5E36UW-ZX;1
74147920220111;X6Q59RX;2
74147920220111;X7V58EX-ZX;3
74147920430111;N1W94U;1
74147920430111;V2H43RX-ZX;3
74147920430112;500041-K21;3
74147920430112;GG9263U;1
74147920430112;N9R55RX-ZX;3
74147920430112;P5R65RA-ZX;2
74147920430112;X0L81RX-ZX;3
74147920430112;X4K63EX-ZX;1
74147920430112;X7H69RX-ZX;1
74147920430112;X9K74RX-ZX;3
74147920496341;642105-421;1
74147920496341;668813-421;3
74147920496341;C0H18U;3
74147920496341;W8Q53RX-ZX;3
74147920520231;GG334U;1
74147920520231;GG9G67UU;2
74147920520231;GGC104K;3
74147920520231;M4R70RX-ZX;2
74147920520231;P5U08RX-ZX;1
74147920520231;X0F03RX-ZX;3
74147920520231;X5K63RX-ZX;1
74147920520232;837829-421;3
74147920520232;M4R47RX-ZX;3
74147920520232;X0P11RA-ZX;3
74147920520232;X4GG52EX-ZXU;2
74147920520232;X6X39RA-ZX;3
74147920520232;X8R83UW-ZX;2
74147920826331;M5V07RX-ZX;2
74147920826331;X3GG11EX-ZX;3
74147920826331;X4K60EX-ZXK;3
74147920826332;GG2V34RX-ZX;2
74147920826332;Q8K46RX-ZX;2
74147920826332;W3L13UU;2
74147920826332;X0N79RA-ZX;1
74147920826332;X0N83RA-ZX;1
74147920826332;X9E28UW-ZX;2
74147921066111;603251-K21;1
74147921066111;668357-K21;3
74147921066111;C427UU;1
74147921066111;M1P04UX;3
74147921066111;P0U60RX-ZX;2
74147921066111;Q8K66RX-ZX;2
74147921066111;V2F27RX;3
74147921066111;X9X09RX-ZX;3
74147921066112;490932-421;2
74147921066112;492336-K21;2
74147921066112;668666-421;1
74147921066112;EM886UX;2
74147921066112;GG9824U;2
74147921066112;GG9C04EX-ZX;1
74147921066112;M9K17EX;1
74147921066112;M9K18RX-ZXU;1
74147921066112;P2GG43RX-ZX;3
74147921066112;P3GG44RX;2
74147921066112;W109RX-ZX;3
74147921066112;X1F48RX-ZX;2
74147921066112;X3K11RX-ZX;2
74147921240221;724082-K21;2
74147921240221;830701-425;2
74147921240221;C9V75UX;3
74147921240221;M9S89RX;1
74147921240221;Q3Q42EX-ZX;3
74147921240221;Q3Q46RA-ZX;2
74147921240221;Q4C11UW-ZX;3
74147921240221;W4U89RX-ZX;3
74147921240221;X3GG19RX-ZX;1
74147921240221;X6Q50EX-ZX;1
74147921240221;X7W02RX-ZX;3
74147921240221;X9X61EX-ZX;2
74147921240222;579240-421;3
74147921240222;860104-425;3
74147921240222;GGC691U;2
74147921240222;M3G77U;1
74147921240222;M9U10U;1
74147921240222;P4N86EX-ZXU;3
74147921240222;X0E96RX-ZX;1
74147921240222;X6Q43EX-ZX;3
74147921360111;470065-654;2
74147921360111;778452-K21;1
74147921360111;GG9661U;2
74147921360111;M4R67RX-ZX;3
74147921360111;Q8K68RX-ZX;1
74147921360111;Q8R13RX-ZX;3
74147921360111;UM445U;2
74147921360111;W8Q51RX-ZX;2
74147921360111;X9X55RX-ZXU;3
74147921360112;L4P52U;3
74147921360112;P1G36EX-ZXU;1
74147921360112;V8R31RX-ZX;3
74147921360112;X0N78RA-ZX;2
74147921462341;675420-421;2
74147921462341;GGG939U;3
74147921462341;GS917UX;3
74147921462341;X3GG14EX-ZX;3
74147921474451;646675-421;1
74147921474451;704558-421;3
74147921474451;GG9979U;2
74147921474451;Q8K51RX-ZX;2
74147921546121;GG2V34RX-ZXU;3
74147921546121;N3X46UW-ZX;1
74147921546121;Q8K45RX-ZX;2
74147921546121;W7Q19RX-ZX;3
74147921582231;642137-421;1
74147921582231;686134-425;2
74147921582231;Q7W37RX-ZX;2
74147921582231;X9K80RX-ZX;1
74147921582232;668668-421;2
74147921762111;GG9983U;3
74147921762112;823562-K21;3
74147921762112;X3GG15RX-ZX;1
74147922056241;X6Q54RX;1
74147922056242;GG9C18RX-ZX;3
74147922056242;GGC772U;1
74147922056242;K7C09U4;3
74147922056242;Q4U10RX-ZX;2
74147922056242;Q5W04UW-ZX;3
74147922056242;U1X76UU;1
74147922146111;GG320K;3
74147922146111;GG9146U;3
74147922146111;GG9783U;1
74147922146111;GG9823U;2
74147922146111;GGG924U;2
74147922146111;Q6X14RX-ZX;3
74147922146111;Q8K47RX-ZX;1
74147922146111;X6Q45EX-ZX;3
74147922146111;ZX377U;2
74147922434231;768345-425;1
74147922434231;777160-421;3
74147922434231;F7U17RX-ZX;3
74147922434231;GG311U;1
74147922434231;GGE045U;2
74147922434231;Q0Q04RX-ZX;2
74147922434231;Q0X58RX-ZX;1
74147922434231;Q5K31RX-ZX;2
74147922434231;Q8R21RA-ZX;2
74147922434231;X3K09RX;1
74147922434231;X3U10UW-ZX;3
74147922434231;X6R48RX-ZX;1
74147922434232;727031-K21;3
74147922434232;GG9821U;2
74147922434232;GGG937U;3
74147922434232;M2G21U;1
74147922434232;P4Q51UW-ZX;2
74147922434232;P4Q52UW-ZX;3
74147922434232;Q7X52RX-ZX;1
74147922434232;W2V95RX-ZX;2
74147922434232;X0F11RX-ZX;3
74147922434232;X3M70UU;2
74147922434232;X6Q44EX-ZX;1
74147922434232;X9E25UW-ZX;1
74147922500111;733738-421;1
74147922500111;C9V73UX;1
74147922500111;GGG542U;1
74147922500111;M0K20RX-ZX;2
74147922596111;491335-421;2
74147922596111;K7M13UU;2
74147922596111;P2Q63RA-ZX;3
74147922596111;U1W80UU;2
74147922596111;V7R41RX;1
74147922596111;X0N81RA-ZX;3
74147922596111;X0N85RA-ZX;1
74147922596111;X0P28RA-ZX;1
74147922596111;X6R25RA-ZX;2
74147922596111;X7W16RX-ZX;3
74147922596112;755263-K21;1
74147922596112;GG9145U;2
74147922596112;KL541K;2
74147922596112;N6Q58RX-ZX;3
74147922596112;Q0X51RX-ZX;2
74147922596112;Q6F43RX-ZX;2
74147922596112;UE459K;3
74147922596112;V8L71RX-ZX;2
74147922596112;W7U91RX-ZX;3
74147922596112;X0F02RX-ZX;1
74147922596112;X0F07RX-ZX;3
74147922596112;X7W01RX-ZX;1
74147922596112;X7W12RX-ZX;1
74147922614221;784105-425;1
74147922614221;788096-425;1
74147922614221;Q5X51RX-ZX;1
74147922614221;Q7W46RX-ZX;3
74147922614221;Q8K41RX-ZX;1
74147922614221;V8L73RX-ZX;3
74147922614221;X3W51UW-ZX;3
74147922614221;X7F67RX-ZX;1
74147922614221;X7V51EX-ZX;1
74147922848331;824379-421;3
74147922848331;GG9C11EX-ZX;3
74147922848331;M4R78RX-ZX;1
74147922848331;N3X45UW-ZX;1
74147922848331;Q5W06UW-ZX;3
74147922848331;V219UW-ZX;1
74147922848331;X0P10RA-ZX;3
74147922848331;X7W10RX-ZX;2
74147923226111;583967-421;3
74147923226111;703930-421;3
74147923226111;823559-K21;1
74147923226111;GG8474U;2
74147923226111;GGG301U;3
74147923226111;X3K75RA-ZX;2
74147923226111;X3K76RA-ZX;3
74147923226112;X3GG07RX-ZX;1
74147923226112;X9X14RX-ZX;2
74147923706221;641458-425;1
74147923706221;P2U80RX-ZX;3
74147923706221;V7Q63RX-ZX;1
74147923706221;X4K32RX-ZX;3
74147923706221;X7W17RX-ZX;2
74147923892111;573090-421;1
74147923892111;642119-421;1
74147923892111;648255-421;1
74147923892111;GG869U;3
74147923892111;GGC101K;3
74147923892111;LL543UU;1
74147923892111;P4X48RX-ZX;3
74147923892111;QR480K;3
74147923892111;W4Q15EX-ZX;3
74147923892111;X3GG08RX-ZX;3
74147923958251;838503-421;3
74147923958252;658247-K21;2
74147923958252;GG9019K;1
74147923958252;GG9775U;3
74147923958252;GGH178U;2
74147923958252;K1U77U4;1
74147923958252;VM617U4;2
74147923958252;X7V60RX-ZX;3
74147923958252;X7V63RX-ZX;2
74147924180121;752687-K21;3
74147924180121;Q5K36RX-ZX;3
74147924474111;GG9779U;1
74147924474111;GGH016U;3
74147924474111;GGH017U;1
74147924474111;X4H60RX-ZX;3
74147924474111;X9X20RX-ZX;3
74147924480121;M1F41UU;3
74147924480121;V2C98UW-ZX;3
74147924480121;X3U87UU;1
74147924750111;492335-K21;3
74147924750111;GG9279U;1
74147924750111;GGG726U;3
74147924750111;M5V03RX-ZX;1
74147924750111;M5V05RX-ZX;2
74147924750111;N3C09UU;2
74147924750111;Q8K49RX-ZX;2
74147924750111;X2F51RX-ZX;3
74147924750111;X7V61RX-ZX;2
74147924750111;X7W15RX-ZX;1
74147924750111;X9X34RX-ZXU;1
74147924768341;C6Q18U4;1
74147924768341;X4K78EX-ZX;2
74147924768341;X6Q47EX-ZX;1
74147924768341;X9X43RX-ZX;3
74147924768342;GG9856U;3
74147924768342;GG986K;2
74147924768342;Q3K07RX-ZX;2
74147924768342;Q8K53RX-ZX;1
74147924768342;Q8K54RX-ZX;3
74147924768342;V8L65RX-ZX;1
74147924768342;V8L70RX-ZX;2
74147924768342;X4GG23RX-ZX;3
74147924768342;X7V62EX-ZX;3
74147924882231;646902-421;2
74147924882231;GGC106U;2
74147924882231;L2X06RX-ZX;3
74147924882231;UM447U;2
74147924882231;X3K57RX-ZX;3
74147924882231;X4R73RX;3
74147924882231;X7W00EX-ZX;3
74147924882232;589152-421;3
74147924882232;GG9800U;1
74147924882232;GGG898U;2
74147924882232;GGH018U;2
74147924882232;N6Q25RX-ZX;3
74147924882232;P1E43RX-ZX;1
74147924882232;V0Q78RX-ZX;3
74147924882232;V1K10RX-ZX;1
74147924882232;W4M90RX-ZX;1
74147924882232;W4N13RX-ZX;1
74147924882232;W8P11RX-ZX;3
74147924882232;X9X46RX-ZXU;2
74147925086111;P6S27UW-ZX;1
74147925086111;P6S29UW;3
74147925086111;Q8K58RX-ZX;1
74147925086111;V1C39RX-ZX;3
74147925086111;W4U88RX-ZX;1
74147925086111;X0E94RX-ZX;1
74147925086111;X3K12RX-ZX;1
74147925194221;G1X61RX-ZXK;2
74147925194221;GGG219U;3
74147925194221;V8L63RX-ZX;1
74147925194221;X7V52RX-ZX;1
74147925194221;X9K60UW-ZX;3
74147925194222;GG9C12EX-ZXU;3
74147925194222;L4P51U;2
74147925194222;M4R75RX-ZX;3
74147925194222;N9R63RX-ZX;1
74147925194222;W4P96UW-ZX;2
74147925194222;W4U51RX-ZX;1
74147925194222;X1K73RX-ZX;3
74147925194222;X4R74RX;3
74147925194222;X6N53RX-ZXU;1
74147925194222;X7U87UW-ZX;2
74147925194222;X7V61EX-ZX;3
74147925494111;733644-425;2
74147925494111;GG330U;1
74147925494111;GGG336U;1
74147925494111;M6U35UW-ZX;2
74147925494111;N2G74U;1
74147925494111;P2GG59RA-ZX;1
74147925494111;W0X08RX-ZX;3
74147925494111;W2V80RX-ZX;1
74147925494111;W4U87RX-ZX;3
74147925494111;W4X32RX-ZX;1
74147925494111;W7Q21RX-ZX;1
74147925494111;X0F13RX-ZX;3
74147925494111;X7V64RX-ZX;1
74147926088321;677198-421;3
74147926088321;704559-421;3
74147926088321;724085-K21;3
74147926088321;GG333U;3
74147926088321;GG7Q74UU;1
74147926088321;GG9982U;3
74147926088321;Q3K22EX-ZX;2
74147926088321;W8U29RX-ZX;1
74147926088321;X0P07RA-ZX;1
74147926088321;X3K59RX-ZX;3
74147926088321;X3M86UU;1
74147926088321;X9X40RX-ZX;2
74147926094211;860103-425;2
74147926094211;GGH179U;2
74147926094211;P5R38RA;3
74147926094211;X7N25UW-ZX;2
74147926094211;XW476U4;1
74147926094212;646900-421;1
74147926094212;646904-421;3
74147926094212;666161-K21;1
74147926094212;687567-425;1
74147926094212;Q8K44RX-ZX;1
74147926094212;X4P56UW-ZX;3
74147926388131;838123-425;3
74147926388131;GG998U;3
74147926388131;M9S56RX-ZX;1
74147926388131;X0N80RA-ZX;1
74147926388131;X0N82RA-ZX;3
74147926388131;X9X43EX-ZX;3
74147926616441;487502-421;1
74147926616441;666163-K21;2
74147926616441;P4GG64RX-ZX;2
74147926616441;Q3K22RX-ZX;1
74147926616441;Q3K26EX-ZX;3
74147926616441;V1N29UW-ZX;1
74147926616441;W4N38RX-ZX;1
74147926616441;X4GG10RX-ZX;3
74147926616441;X4K81EX-ZX;3
74147926628111;765819-421;1
74147926628111;GG9792U;3
74147926628111;M1N99UX;2
74147926628111;W6Q01RX-ZX;3
74147926628111;X2F52RX-ZX;3
74147926628111;X5E38UW-ZX;2
74147926628111;X9Q81RX-ZX;3
74147926628111;X9X09EX-ZX;1
74147926628112;835264-421;2
74147926628112;835847-425;3
74147926628112;M246U4;1
74147926628112;X3GG10EX-ZX;1
74147926628112;X4R07RX-ZXU;3
74147926628112;X7V65RX-ZX;3
74147926772431;GG9588U;3
74147926772431;GG9984U;3
74147926862321;GG9470U;1
74147926862321;GGE090U;2
74147926862321;GGL261U;1
74147926862321;M1P00UU;2
74147926862321;Q8K50RX-ZX;3
74147926862322;518867-K21;2
74147926862322;752688-K21;3
74147926862322;EH946U;1
74147926862322;GG7Q66US;1
74147926862322;GGG237U;1
74147926862322;K7X30UX;1
74147926862322;QW937U;1
74147926862322;X0E93RX-ZX;3
74147926862322;X0F09RX-ZX;1
74147926862322;X6Q54EX-ZX;2
74147926940121;642107-421;3
74147926940121;724086-K21;3
74147926940121;755262-K21;3
74147926940121;GG304U;1
74147926940121;GG9836U;2
74147926940121;GGG510U;3
74147926940121;K7X26UX;1
74147926940121;M6F38UU;3
74147926940121;W1E47RX-ZX;2
74147926940121;X9X77EX-ZX;1
74147926940122;GGF427U;1
74147926940122;P3Q95RX-ZX;2
74147926940122;P9K70U;1
74147926940122;W9X88RX-ZX;3
74147926970331;666158-K21;3
74147926970331;838124-425;2
74147926970331;C8R07U;2
74147926970331;GGG238U;1
74147926970331;Q3Q34EX-ZX;2
74147926970332;727028-K21;1
74147926970332;778456-K21;1
74147926970332;783363-425;1
74147926970332;788095-425;2
74147926970332;GG9473U;3
74147926970332;GGG315U;1
74147926970332;P5S80RA-ZX;3
74147926970332;W4M78RX-ZX;2
74147926970332;W8P04RX-ZX;3
74147927546121;646905-421;3
74147927546121;668667-421;1
74147927546121;GGE092U;1
74147927546121;GGG225K;1
74147927546121;GGG239U;2
74147927546121;GGL001U;2
74147927546121;L4K32UW-ZX;1
74147927858131;GG9853U;1
74147927858131;L4P53U;2
74147927858131;M4R63RX-ZX;3
74147927858131;P5X65RX-ZX;1
74147927858131;X6R24RA-ZX;2
74147928392131;7P94U4;2
74147928392131;GG3G07U4;3
74147928392131;GG9855U;1
74147928392131;W3M13EX-ZX;2
74147928392131;X0F14RX-ZX;2
74147928392131;X9K58UW-ZX;3
74147928392132;818208-K21;3
74147928392132;GGL002U;3
74147928392132;K5M13UU;1
74147928392132;V7R49RX;3
74147928392132;X4K31RX-ZX;3
74147928392132;X993UW-ZX;3
74147928716241;778454-K21;1
74147928716241;783361-425;2
74147928716241;GG9791U;1
74147928716241;GGG307C;1
74147928716241;GGG938U;3
74147928716241;M1N98UX;2
74147928716241;P1C50RX-ZX;2
74147928716241;Q5X66RX-ZX;2
74147928716241;X0N77RA-ZX;3
74147928716241;X2F03RX-ZX;1
74147928716241;X7F58RX-ZX;3
74147928716241;X9K78RX-ZX;3
74147928854131;GG318U;2
74147928854131;Q3Q24EX-ZX;3
74147928854131;X7N76UW-ZX;2
74147928884111;E9Q82U4;2
74147928884111;GGG920U;3
74147928884111;GGG921U;3
74147928884111;P5S01RX-ZX;1
74147929088351;724083-K21;3
74147929088351;GG336U;3
74147929088351;Q4U11RX-ZX;2
74147929088351;Q5W05UW-ZX;1
74147929088351;X2F49RX-ZX;1
74147929088351;X7V52EX-ZX;2
74147929088351;X9K79RX-ZX;3
74147929088351;X9K82RX-ZX;1
74147929124341;GGE008U;2
74147929124341;GGG306K;3
74147929124342;GG9638U;2
74147929208231;GG2W50U4;3
74147929208231;Q6X42RX-ZX;1
74147929208231;W1E48RX-ZX;3
74147929208231;X6Q29RA-ZX;2
74147929208231;X9X36RX-ZX;1
74147929208231;X9X62EX-ZX;1
74147929232111;GG9449U;3
74147929232111;GG9575U;1
74147929232111;GGE073U;3
74147929232111;L5N91UU;2
74147929232111;M1P02UU;1
74147929232111;N9C43UU;3
74147929232111;V0X53RX-ZX;3
74147929232111;V2F34RX-ZX;3
74147929232111;V5GG61UU;2
74147929232111;X3X18UW-ZX;2
74147929232112;727026-K21;1
74147929232112;755260-K21;2
74147929232112;769504-K21;3
74147929232112;GG9627U;2
74147929232112;UW576U;2
74147929460351;GGC105U;3
74147929460351;W7X58RX-ZX;2
74147929460351;X7W11RX-ZX;1
74147929460352;769506-K21;1
74147929460352;GG9C14RX-ZX;1
74147929460352;GGC105K;1
74147929460352;GGG221U;1
74147929460352;GGG223U;2
74147929460352;Q8K62RX-ZX;3
74147929460352;W4M19RX-ZX;3
74147929460352;X4K77EX-ZX;1
74147929460352;X4R70EX-ZXU;1
74147929460352;X7N25UW-ZXU;2
74147929460352;X9K84RX-ZX;3
74147929460352;X9K85RX-ZX;3
74147929508111;470065-652;3
74147929508111;778453-K21;3
74147929508111;GG9265U;3
74147929508111;GG9822U;2
74147929508111;N0P91RX-ZX;3
74147929508111;N9P95UU-ZX;2
74147929508111;P6S30UW;1
74147929508111;Q156RX-ZX;3
74147929508111;Q8K57RX-ZX;3
74147929508111;W4U90RX-ZX;3
74147929508111;X9X46RX-ZX;3
74147929730241;710723-421;3
74147929730241;7Q14U4;1
74147929730241;GG9472U;2
74147929730241;GG9586U;3
74147929730241;GG9727U;1
74147929730241;W6Q09RX-ZX;1
74147929730241;W8Q42RX-ZX;1
74147929730241;X3GG02EX-ZX;1
74147929730241;X3N97RX-ZX;2
74147929730241;X6P65RX-ZX;2
74147929730241;X9X77RX-ZX;3
74147929730242;C8R08U;2
74147929730242;GG8772K;1
74147929730242;GG9086U;1
74147929730242;GGF845U;1
74147929730242;GGG302U;3
74147929730242;GGH019U;2
74147929730242;L5N90UU;2
74147929730242;P5X65RX-ZXU;2
74147929730242;Q3Q27EX-ZX;1
74147929730242;Q8K60RX-ZX;1
74147929784321;P0K31RX;2
74147929784322;GGL095U;2
74147929814111;GGG222U;1
74147929814111;GGG236U;3
74147929814111;P3U14RX-ZX;2
74147929814111;P4P60RX-ZX;3
74147929814111;Q4U96RX-ZX;2
74147929814111;X0P14RA-ZX;3
74147929814111;X9K86RX-ZX;2
74147929814112;GGC099K;3
74147929814112;GGE069U;3
74147929814112;GGG349U;1
74147929814112;GGG914U;2
74147929814112;M2P37RX-ZX;1
74147929814112;X0N87RA-ZX;3
74147929814112;X2F05RX-ZX;1
74147929814112;X3W49UW-ZX;3
74147929814112;X7N23UW-ZX;2
74147929874451;GG9624U;3
74147929874451;GG9625U;2
74147929874451;GG9801U;2
74147929874451;GGG300K;3
74147929874451;M1N96UU;1
74147929874451;M4R72RX-ZX;2
74147929874451;UGG822K;2
74147929874451;X4K29RX-ZX;3
74147929874451;X6Q48EX-ZX;1
74147929874451;X9K73RX-ZX;1
74147929874451;X9X18EX-ZX;3
74147929874451;X9X22RX-ZX;2
74147930060341;470065-650;1
74147930060341;668665-421;3
74147930060341;769505-K21;3
74147930060341;783362-425;2
74147930060341;784104-425;3
74147930060341;830893-421;2
74147930060341;E5P95UX;2
74147930060341;GGE072U;2
74147930060341;GGL254U;3
74147930060341;K7X32UU;3
74147930060341;M2GG79UX;2
74147930060341;W4M72RX-ZX;3
74147930216111;9E49UU;2
74147930216111;GG327U;3
74147930216111;GG9147U;1
74147930216111;GGH328U;1
74147930216111;L2X02RX-ZX;3
74147930216111;M2GG71UX;3
74147930216111;Q5X52RX-ZX;2
74147930216111;W4Q18RX-ZX;2
74147930216111;W4U54RX-ZXU;3
74147930216111;X0Q29RA-ZX;1
74147930216111;X5X49RX-ZX;2
74147930216111;X7V51RX-ZX;1
74147930216111;X9X61RX-ZX;3
74147930282231;GG314U;3
74147930282231;GGL259U;3
74147930282231;L4P54U;3
74147930282231;X0F01RX-ZX;2
74147930654111;GG316U;1
74147930654111;GGG225U;2
74147930654111;GGG302U2;3
74147930654111;GGL253U;3
74147930654111;Q6W72RX-ZX;2
74147930654111;UQ233K;3
74147930654112;GG9539U;2
74147930654112;GG9573U;2
74147930654112;GG9772U;2
74147930654112;GGG708K;2
74147930678221;662082-421;2
